CLAS physics database search results
Measurement E32M1
g10 CLAS experiment
Wei Chen
0

Egamma	theta	dsigma/dOmega	Data errors	Systematic errors
MeV	deg	mcb/srad	mcb/srad	mcb/srad
1450	42.5	1.68295	0.19357	0.01718
1450	47.5	1.55778	0.17871	0.01187
1450	52.5	1.3036	0.14949	0.00927
1450	57.5	1.00938	0.11573	0.00701
1450	62.5	0.88747	0.10177	0.00644
1450	67.5	0.73532	0.08431	0.00538
1450	72.5	0.64571	0.07404	0.0048
1450	77.5	0.5799	0.0665	0.00446
1450	82.5	0.52588	0.06032	0.00418
1450	87.5	0.47416	0.0544	0.00417
1450	92.5	0.41618	0.04778	0.00383
1450	97.5	0.34464	0.03953	0.00287
1450	102.5	0.30814	0.03534	0.00249
1450	107.5	0.27699	0.03177	0.00224
1450	112.5	0.23267	0.02669	0.00197
1450	117.5	0.19287	0.02214	0.00184
1450	122.5	0.22737	0.02611	0.00223
1450	127.5	0.28149	0.03232	0.00275
1450	132.5	0.36567	0.04202	0.00409
1450	137.5	0.33559	0.03908	0.00721
1450	142.5	0.4537	0.05226	0.00607
1450	147.5	0.55859	0.0643	0.00687
1450	152.5	0.82209	0.09505	0.01359
1450	157.5	0.72364	0.09192	0.03996
1500	37.5	1.74936	0.20388	0.03321
1500	42.5	1.51432	0.17469	0.01711
1500	47.5	1.33298	0.1533	0.01134
1500	52.5	1.12969	0.12985	0.00895
1500	57.5	0.91009	0.10459	0.00705
1500	62.5	0.79924	0.09187	0.00646
1500	67.5	0.67833	0.07796	0.00549
1500	72.5	0.60369	0.06939	0.00495
1500	77.5	0.56402	0.06483	0.00476
1500	82.5	0.5229	0.06012	0.00456
1500	87.5	0.47677	0.05483	0.00458
1500	92.5	0.41436	0.0477	0.00416
1500	97.5	0.34575	0.03975	0.00311
1500	102.5	0.30173	0.03469	0.00266
1500	107.5	0.27433	0.03154	0.0024
1500	112.5	0.24033	0.02763	0.00217
1500	117.5	0.20301	0.02336	0.00205
1500	122.5	0.23974	0.0276	0.00253
1500	127.5	0.28401	0.03269	0.003
1500	132.5	0.35505	0.04091	0.00433
1500	137.5	0.30665	0.03584	0.00702
1500	142.5	0.3999	0.04625	0.00607
1500	147.5	0.48621	0.05616	0.00676
1500	152.5	0.70307	0.08158	0.01256
1500	157.5	0.70144	0.08854	0.03709
1550	37.5	1.47556	0.17226	0.02696
1550	42.5	1.2405	0.14339	0.01354
1550	47.5	1.10576	0.12742	0.00909
1550	52.5	0.91615	0.10552	0.00699
1550	57.5	0.78104	0.08994	0.00585
1550	62.5	0.71108	0.0819	0.00555
1550	67.5	0.62818	0.07234	0.00488
1550	72.5	0.55931	0.06441	0.00441
1550	77.5	0.5281	0.06082	0.00426
1550	82.5	0.49166	0.05663	0.00411
1550	87.5	0.46915	0.05405	0.0043
1550	92.5	0.39014	0.04498	0.00371
1550	97.5	0.32409	0.03733	0.00275
1550	102.5	0.28437	0.03276	0.00241
1550	107.5	0.26399	0.03041	0.00221
1550	112.5	0.23744	0.02735	0.00204
1550	117.5	0.19379	0.02233	0.00187
1550	122.5	0.21977	0.02534	0.00222
1550	127.5	0.26349	0.03038	0.0027
1550	132.5	0.31827	0.03673	0.00365
1550	137.5	0.28432	0.03319	0.00604
1550	142.5	0.35059	0.04065	0.00544
1550	147.5	0.39839	0.0461	0.00543
1550	152.5	0.59494	0.06911	0.01015
1550	157.5	0.68735	0.08585	0.03373
1600	37.5	1.25393	0.14717	0.02503
1600	42.5	1.06114	0.12305	0.01241
1600	47.5	0.91258	0.10545	0.00806
1600	52.5	0.77549	0.08956	0.00637
1600	57.5	0.66857	0.07719	0.00538
1600	62.5	0.61539	0.07107	0.00513
1600	67.5	0.57546	0.06644	0.00481
1600	72.5	0.51705	0.0597	0.00434
1600	77.5	0.48039	0.05548	0.00414
1600	82.5	0.45188	0.05219	0.00404
1600	87.5	0.44214	0.05108	0.00432
1600	92.5	0.37578	0.04345	0.0038
1600	97.5	0.29948	0.03459	0.00272
1600	102.5	0.26548	0.03066	0.00241
1600	107.5	0.2441	0.02819	0.00218
1600	112.5	0.22622	0.02612	0.00206
1600	117.5	0.18332	0.02118	0.00187
1600	122.5	0.19763	0.02285	0.00216
1600	127.5	0.23183	0.02681	0.00259
1600	132.5	0.27308	0.03161	0.00334
1600	137.5	0.25156	0.02943	0.00539
1600	142.5	0.288	0.03357	0.00515
1600	147.5	0.32107	0.03729	0.00483
1600	152.5	0.48801	0.0569	0.00887
1600	157.5	0.58612	0.07361	0.0295
1650	37.5	1.08937	0.1283	0.02191
1650	42.5	0.89616	0.10423	0.01067
1650	47.5	0.77788	0.09014	0.00701
1650	52.5	0.66165	0.07662	0.00555
1650	57.5	0.58866	0.06815	0.00481
1650	62.5	0.53867	0.06237	0.00456
1650	67.5	0.5298	0.06133	0.00444
1650	72.5	0.47915	0.05547	0.00406
1650	77.5	0.44139	0.05111	0.00382
1650	82.5	0.41248	0.04776	0.00374
1650	87.5	0.40864	0.04734	0.00404
1650	92.5	0.35527	0.04117	0.00356
1650	97.5	0.28175	0.03262	0.00257
1650	102.5	0.24119	0.02793	0.0022
1650	107.5	0.22565	0.02613	0.00203
1650	112.5	0.21312	0.02467	0.00196
1650	117.5	0.17047	0.01975	0.00174
1650	122.5	0.17659	0.02048	0.00195
1650	127.5	0.20108	0.02332	0.00231
1650	132.5	0.22914	0.02659	0.00285
1650	137.5	0.22653	0.02654	0.00475
1650	142.5	0.24773	0.02901	0.00481
1650	147.5	0.26105	0.03042	0.00407
1650	152.5	0.409	0.04782	0.00754
1650	157.5	0.5594	0.06984	0.02664
1700	37.5	0.96674	0.11463	0.02154
1700	42.5	0.74984	0.08756	0.00967
1700	47.5	0.65266	0.07589	0.00647
1700	52.5	0.56287	0.0654	0.00519
1700	57.5	0.50247	0.05836	0.00448
1700	62.5	0.48468	0.05631	0.00449
1700	67.5	0.48013	0.05576	0.0044
1700	72.5	0.44712	0.05194	0.00413
1700	77.5	0.41718	0.04846	0.00392
1700	82.5	0.38532	0.04477	0.0038
1700	87.5	0.37375	0.04345	0.00401
1700	92.5	0.31915	0.0371	0.00343
1700	97.5	0.26065	0.03028	0.0026
1700	102.5	0.22864	0.02656	0.00226
1700	107.5	0.20635	0.02397	0.00203
1700	112.5	0.19337	0.02246	0.00193
1700	117.5	0.15728	0.01828	0.00174
1700	122.5	0.15319	0.01783	0.00186
1700	127.5	0.17422	0.02028	0.00224
1700	132.5	0.19144	0.0223	0.00262
1700	137.5	0.19713	0.02319	0.00437
1700	142.5	0.20194	0.02386	0.00471
1700	147.5	0.22293	0.02611	0.0039
1700	152.5	0.33624	0.03951	0.00678
1700	157.5	0.42316	0.05314	0.02062
1750	37.5	0.84698	0.10061	0.01777
1750	42.5	0.66166	0.07747	0.00813
1750	47.5	0.54805	0.06389	0.00513
1750	52.5	0.47711	0.05558	0.00414
1750	57.5	0.43234	0.05035	0.00363
1750	62.5	0.4354	0.05071	0.00377
1750	67.5	0.44637	0.05197	0.00383
1750	72.5	0.40572	0.04725	0.00349
1750	77.5	0.38635	0.04499	0.00339
1750	82.5	0.35521	0.04137	0.00328
1750	87.5	0.33469	0.03901	0.00333
1750	92.5	0.29803	0.03472	0.00293
1750	97.5	0.25919	0.03019	0.00242
1750	102.5	0.21815	0.0254	0.00201
1750	107.5	0.19852	0.02312	0.00182
1750	112.5	0.18332	0.02135	0.00171
1750	117.5	0.1453	0.01692	0.00151
1750	122.5	0.13002	0.01517	0.00151
1750	127.5	0.15174	0.01771	0.00186
1750	132.5	0.16183	0.0189	0.00211
1750	137.5	0.17104	0.02011	0.00344
1750	142.5	0.16777	0.0199	0.00403
1750	147.5	0.17611	0.02067	0.00302
1750	152.5	0.30386	0.03574	0.00571
1750	157.5	0.39521	0.04909	0.01747
1800	37.5	0.77231	0.09233	0.01746
1800	42.5	0.59993	0.07054	0.00788
1800	47.5	0.4881	0.05711	0.00493
1800	52.5	0.42515	0.04971	0.00398
1800	57.5	0.40024	0.04678	0.00363
1800	62.5	0.38445	0.04494	0.00359
1800	67.5	0.39601	0.04628	0.00365
1800	72.5	0.36135	0.04224	0.00335
1800	77.5	0.36453	0.04261	0.00344
1800	82.5	0.33853	0.03957	0.00337
1800	87.5	0.2983	0.0349	0.0032
1800	92.5	0.27792	0.03248	0.00283
1800	97.5	0.24738	0.02893	0.00247
1800	102.5	0.2117	0.02474	0.00206
1800	107.5	0.1918	0.02242	0.00186
1800	112.5	0.1793	0.02096	0.00177
1800	117.5	0.14095	0.01648	0.00154
1800	122.5	0.12409	0.01453	0.00154
1800	127.5	0.13491	0.01581	0.00179
1800	132.5	0.14426	0.01691	0.00201
1800	137.5	0.15179	0.01793	0.00319
1800	142.5	0.14394	0.01725	0.004
1800	147.5	0.15417	0.01819	0.00287
1800	152.5	0.2607	0.03081	0.00524
1800	157.5	0.35324	0.04427	0.01639
1850	37.5	0.71837	0.08618	0.0159
1850	42.5	0.51117	0.06031	0.00659
1850	47.5	0.41824	0.0491	0.00419
1850	52.5	0.36402	0.0427	0.00336
1850	57.5	0.34896	0.04092	0.00312
1850	62.5	0.34797	0.04081	0.00322
1850	67.5	0.36038	0.04225	0.00327
1850	72.5	0.33269	0.03901	0.00302
1850	77.5	0.33543	0.03933	0.00311
1850	82.5	0.30422	0.03568	0.00299
1850	87.5	0.27369	0.03213	0.00287
1850	92.5	0.25966	0.03044	0.00252
1850	97.5	0.23754	0.02787	0.00234
1850	102.5	0.20371	0.02388	0.00193
1850	107.5	0.18599	0.02181	0.00177
1850	112.5	0.17064	0.02001	0.00165
1850	117.5	0.13791	0.01617	0.00147
1850	122.5	0.11447	0.01345	0.00141
1850	127.5	0.12137	0.01427	0.00162
1850	132.5	0.13057	0.01536	0.00183
1850	137.5	0.13548	0.01604	0.00279
1850	142.5	0.12065	0.01459	0.00369
1850	147.5	0.13802	0.01634	0.00262
1850	152.5	0.22049	0.02615	0.00444
1850	157.5	0.28633	0.03578	0.01265
1900	37.5	0.63969	0.07786	0.01796
1900	42.5	0.45042	0.05352	0.00723
1900	47.5	0.35191	0.04154	0.00442
1900	52.5	0.30672	0.03617	0.00357
1900	57.5	0.30197	0.03559	0.00339
1900	62.5	0.29696	0.03501	0.00343
1900	67.5	0.3142	0.03702	0.00356
1900	72.5	0.2907	0.03426	0.00327
1900	77.5	0.29295	0.03452	0.00336
1900	82.5	0.26815	0.03161	0.0033
1900	87.5	0.24329	0.02872	0.00314
1900	92.5	0.23951	0.02821	0.00282
1900	97.5	0.2247	0.02651	0.00272
1900	102.5	0.20111	0.02369	0.0023
1900	107.5	0.18153	0.0214	0.0021
1900	112.5	0.16311	0.01922	0.00193
1900	117.5	0.13522	0.01594	0.00174
1900	122.5	0.10455	0.01236	0.00158
1900	127.5	0.11137	0.01318	0.00182
1900	132.5	0.11681	0.01384	0.00201
1900	137.5	0.1211	0.01447	0.00292
1900	142.5	0.10086	0.01254	0.00409
1900	147.5	0.11921	0.01426	0.00284
1900	152.5	0.19267	0.0231	0.00481
1900	157.5	0.29173	0.03762	0.01566
2000	37.5	0.50394	0.06114	0.01047
2000	42.5	0.34749	0.04142	0.00418
2000	47.5	0.25623	0.03039	0.00241
2000	52.5	0.22061	0.02614	0.00193
2000	57.5	0.21731	0.02574	0.00182
2000	62.5	0.23078	0.02734	0.00199
2000	67.5	0.245	0.02901	0.00206
2000	72.5	0.23374	0.02769	0.00196
